0:00:17.568460: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.662675: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.756927: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.851086: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:17.945276: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:18.039413: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:18.149425: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:18.243494: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:18.321825: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:18.400403: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
0:00:18.510339: Frequency: 2.942726775082116e-44, Amplitude: 0.0, Offset: 90.0, Phase Shift: 0.0, Phase: 112.04076385498047
